Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
01. Jun;FC Midtjylland;AC Horsens;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
01. Jun;Lyngby;FC Kobenhavn;1;4;Away win;+;+;+;5;+;-;-;0;1;V;1
01. Jun;Randers FC;Hobro IK;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
02. Jun;Brondby IF;SonderjyskE;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
07. Jun;Aalborg BK;AGF Aarhus;2;3;Away win;+;+;+;5;+;-;-;0;1;V;1
07. Jun;AC Horsens;Brondby IF;3;2;Home win;+;+;+;5;+;-;-;0;1;V;1
07. Jun;FC Kobenhavn;Randers FC;2;1;Home win;+;+;-;3;+;-;-;2;0;L;1
07. Jun;Hobro IK;Lyngby;2;2;Draw;+;+;+;4;+;-;-;0;1;V;1
07. Jun;Nordsjaelland;FC Midtjylland;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
07. Jun;Odense BK;Esbjerg;3;1;Home win;+;+;+;4;+;-;-;3;0;L;1
07. Jun;SonderjyskE;Silkeborg;2;2;Draw;+;+;+;4;+;-;-;1;1;L;1
12. Jun;Esbjerg;Randers FC;4;2;Home win;+;+;+;6;+;-;-;3;2;L;1
13. Jun;Hobro IK;AC Horsens;1;1;Draw;+;-;-;2;+;-;-;1;1;V;1
14. Jun;Aalborg BK;FC Midtjylland;0;2;Away win;+;-;-;2;-;-;+;0;2;V;1
14. Jun;Brondby IF;AGF Aarhus;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
14. Jun;Nordsjaelland;FC Kobenhavn;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
14. Jun;SonderjyskE;Lyngby;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
15. Jun;Silkeborg;Odense BK;6;0;Home win;+;+;+;6;-;+;-;2;0;L;1
16. Jun;AC Horsens;Esbjerg;2;2;Draw;+;+;+;4;+;-;-;1;1;V;1
16. Jun;Randers FC;Hobro IK;4;0;Home win;+;+;+;4;-;+;-;2;0;L;1
17. Jun;AGF Aarhus;Nordsjaelland;2;1;Home win;+;+;-;3;+;-;-;2;0;L;1
17. Jun;FC Kobenhavn;Aalborg BK;2;0;Home win;+;-;-;2;-;+;-;2;0;L;1
18. Jun;FC Midtjylland;Brondby IF;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
18. Jun;Lyngby;Silkeborg;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
18. Jun;Odense BK;SonderjyskE;2;0;Home win;+;-;-;2;-;+;-;2;0;L;1
20. Jun;Aalborg BK;Nordsjaelland;0;4;Away win;+;+;+;4;-;-;+;0;2;V;1
20. Jun;AC Horsens;Randers FC;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
21. Jun;Brondby IF;FC Kobenhavn;1;1;Draw;+;-;-;2;+;-;-;0;0;V;1
21. Jun;Esbjerg;Hobro IK;1;3;Away win;+;+;+;4;+;-;-;1;0;L;1
21. Jun;FC Midtjylland;AGF Aarhus;3;4;Away win;+;+;+;7;+;-;-;1;1;V;1
21. Jun;Silkeborg;SonderjyskE;1;2;Away win;+;+;-;3;+;-;-;1;0;L;1
22. Jun;Lyngby;Odense BK;1;2;Away win;+;+;-;3;+;-;-;1;1;L;1
26. Jun;AGF Aarhus;Aalborg BK;1;4;Away win;+;+;+;5;+;-;-;1;3;V;1
27. Jun;SonderjyskE;Silkeborg;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
28. Jun;FC Kobenhavn;FC Midtjylland;1;2;Away win;+;+;-;3;+;-;-;0;1;V;1
28. Jun;Hobro IK;Esbjerg;2;1;Home win;+;+;-;3;+;-;-;0;1;V;1
28. Jun;Nordsjaelland;Brondby IF;0;2;Away win;+;-;-;2;-;-;+;0;1;V;1
28. Jun;Randers FC;AC Horsens;0;3;Away win;+;+;-;3;-;-;+;0;1;V;1
29. Jun;Odense BK;Lyngby;3;1;Home win;+;+;+;4;+;-;-;0;1;V;1
03. Jul;Esbjerg;AC Horsens;1;2;Away win;+;+;-;3;+;-;-;1;1;V;1
04. Jul;Silkeborg;Lyngby;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
04. Jul;SonderjyskE;Odense BK;1;1;Draw;+;-;-;2;+;-;-;0;0;L;1
05. Jul;Aalborg BK;Brondby IF;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
05. Jul;AGF Aarhus;FC Kobenhavn;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
05. Jul;Hobro IK;Randers FC;2;3;Away win;+;+;+;5;+;-;-;1;2;V;1
05. Jul;Nordsjaelland;FC Midtjylland;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
08. Jul;AC Horsens;Hobro IK;3;2;Home win;+;+;+;5;+;-;-;1;2;L;1
08. Jul;Lyngby;SonderjyskE;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
08. Jul;Odense BK;Silkeborg;1;3;Away win;+;+;+;4;+;-;-;0;2;V;1
08. Jul;Randers FC;Esbjerg;3;1;Home win;+;+;+;4;+;-;-;0;1;V;1
09. Jul;Aalborg BK;AGF Aarhus;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
09. Jul;Brondby IF;Nordsjaelland;4;0;Home win;+;+;+;4;-;+;-;2;0;L;1
09. Jul;FC Midtjylland;FC Kobenhavn;3;1;Home win;+;+;+;4;+;-;-;0;1;V;1
12. Jul;AGF Aarhus;FC Midtjylland;3;0;Home win;+;+;-;3;-;+;-;1;0;L;1
12. Jul;FC Kobenhavn;Brondby IF;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
12. Jul;Nordsjaelland;Aalborg BK;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
17. Jul;FC Midtjylland;Nordsjaelland;6;3;Home win;+;+;+;9;+;-;-;1;2;V;1
19. Jul;Brondby IF;Aalborg BK;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
19. Jul;FC Kobenhavn;AGF Aarhus;2;4;Away win;+;+;+;6;+;-;-;1;2;V;1
22. Jul;Brondby IF;FC Midtjylland;1;1;Draw;+;-;-;2;+;-;-;1;1;V;1
