Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
30. Nov;Chemnitzer;KFC Uerdingen;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
30. Nov;Hallescher FC;MSV Duisburg;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
30. Nov;Hansa Rostock;Wurzburger K.;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
30. Nov;Pr. Munster;Mannheim;1;3;Away win;+;+;+;4;+;-;-;1;0;L;0
30. Nov;Sonnenhof;Magdeburg;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
30. Nov;Viktoria Koln;Kaiserslautern;2;4;Away win;+;+;+;6;+;-;-;0;2;V;0
1 Dec;FC Ingolstadt;Meppen;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
1 Dec;Unterhaching;1860 Munchen;2;3;Away win;+;+;+;5;+;-;-;1;1;L;0
2 Dec;Braunschweig;Zwickau;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
6 Dec;Chemnitzer;Zwickau;2;2;Draw;+;+;+;4;+;-;-;2;2;V;0
7 Dec;1860 Munchen;Sonnenhof;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
7 Dec;Carl Zeiss Jena;Unterhaching;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
7 Dec;Kaiserslautern;Hallescher FC;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
7 Dec;KFC Uerdingen;Hansa Rostock;4;1;Home win;+;+;+;5;+;-;-;2;1;V;0
7 Dec;Magdeburg;FC Ingolstadt;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
7 Dec;Wurzburger K.;Viktoria Koln;3;1;Home win;+;+;+;4;+;-;-;0;0;V;0
8 Dec;Mannheim;Braunschweig;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
8 Dec;MSV Duisburg;Bayern Munich B;3;2;Home win;+;+;+;5;+;-;-;2;0;L;0
9 Dec;Meppen;Pr. Munster;3;1;Home win;+;+;+;4;+;-;-;1;0;L;0
13 Dec;Pr. Munster;Magdeburg;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
14 Dec;Bayern Munich B;Kaiserslautern;1;3;Away win;+;+;+;4;+;-;-;1;1;V;0
14 Dec;Braunschweig;Meppen;1;2;Away win;+;+;-;3;+;-;-;1;2;V;0
