Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
23. Aug;Pisa;Benevento;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
24. Aug;Ascoli;Trapani;3;1;Home win;+;+;+;4;+;-;-;1;0;L;0
24. Aug;Cittadella;Spezia;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
24. Aug;Crotone;Cosenza;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
24. Aug;Salernitana;Pescara;3;1;Home win;+;+;+;4;+;-;-;1;0;L;0
24. Aug;Venezia;Cremonese;1;2;Away win;+;+;-;3;+;-;-;0;0;V;0
24. Aug;Virtus Entella;Livorno;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
25. Aug;Empoli;Juve Stabia;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
25. Aug;Perugia;Chievo;2;1;Home win;+;+;-;3;+;-;-;1;1;V;0
26. Aug;Pordenone;Frosinone;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
30. Aug;Chievo;Empoli;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
31. Aug;Benevento;Cittadella;4;1;Home win;+;+;+;5;+;-;-;1;0;L;0
31. Aug;Cosenza;Salernitana;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
31. Aug;Cremonese;Virtus Entella;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
31. Aug;Livorno;Perugia;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
31. Aug;Spezia;Crotone;1;2;Away win;+;+;-;3;+;-;-;1;2;V;0
31. Aug;Trapani;Venezia;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
01. Sep;Frosinone;Ascoli;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
01. Sep;Juve Stabia;Pisa;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
01. Sep;Pescara;Pordenone;4;2;Home win;+;+;+;6;+;-;-;1;2;L;0
13. Sep;Pordenone;Spezia;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
14. Sep;Ascoli;Livorno;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
14. Sep;Cittadella;Trapani;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
14. Sep;Perugia;Juve Stabia;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
14. Sep;Venezia;Chievo;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
14. Sep;Virtus Entella;Frosinone;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
15. Sep;Cosenza;Pescara;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
15. Sep;Crotone;Empoli;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
15. Sep;Pisa;Cremonese;4;1;Home win;+;+;+;5;+;-;-;1;0;L;0
16. Sep;Salernitana;Benevento;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
20. Sep;Frosinone;Venezia;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
21. Sep;Benevento;Cosenza;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
21. Sep;Chievo;Pisa;2;2;Draw;+;+;+;4;+;-;-;0;1;V;0
21. Sep;Cremonese;Crotone;2;1;Home win;+;+;-;3;+;-;-;2;1;L;0
21. Sep;Empoli;Cittadella;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
21. Sep;Juve Stabia;Ascoli;1;5;Away win;+;+;+;6;+;-;-;0;0;V;0
21. Sep;Livorno;Pordenone;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
21. Sep;Pescara;Virtus Entella;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
21. Sep;Spezia;Perugia;2;2;Draw;+;+;+;4;+;-;-;2;1;V;0
22. Sep;Trapani;Salernitana;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
24. Sep;Ascoli;Spezia;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
24. Sep;Cittadella;Pescara;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
24. Sep;Cosenza;Livorno;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
24. Sep;Crotone;Juve Stabia;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
24. Sep;Perugia;Frosinone;3;1;Home win;+;+;+;4;+;-;-;2;1;V;0
24. Sep;Pisa;Empoli;2;3;Away win;+;+;+;5;+;-;-;1;1;V;0
24. Sep;Pordenone;Benevento;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
24. Sep;Virtus Entella;Venezia;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
25. Sep;Salernitana;Chievo;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
25. Sep;Trapani;Cremonese;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
27. Sep;Pescara;Crotone;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
28. Sep;Empoli;Perugia;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
28. Sep;Frosinone;Cosenza;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
28. Sep;Juve Stabia;Cittadella;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
