Dateÿ?;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
20. Aug;Birmingham City;Barnsley;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
20. Aug;Derby County;Bristol City;1;2;Away win;+;+;-;3;+;-;-;0;2;V;0
20. Aug;Hull City;Blackburn;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
20. Aug;Middlesbrough;Wigan Athletic;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
20. Aug;Sheffield Wed;Luton Town;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
21. Aug;Cardiff City;Huddersfield;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
21. Aug;Charlton;Nottm Forest;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
21. Aug;Fulham;Millwall;4;0;Home win;+;+;+;4;-;+;-;2;0;L;0
21. Aug;Leeds Utd;Brentford;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
21. Aug;Preston;Stoke City;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
21. Aug;QP Rangers;Swansea City;1;3;Away win;+;+;+;4;+;-;-;0;1;V;0
21. Aug;West Brom;Reading;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
24. Aug;Barnsley;Luton Town;1;3;Away win;+;+;+;4;+;-;-;0;3;V;0
24. Aug;Blackburn;Cardiff City;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
24. Aug;Charlton;Brentford;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
24. Aug;Derby County;West Brom;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
24. Aug;Fulham;Nottm Forest;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
24. Aug;Huddersfield;Reading;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
24. Aug;Hull City;Bristol City;1;3;Away win;+;+;+;4;+;-;-;1;1;V;0
24. Aug;Middlesbrough;Millwall;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
24. Aug;Preston;Sheffield Wed;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
24. Aug;QP Rangers;Wigan Athletic;3;1;Home win;+;+;+;4;+;-;-;0;1;V;0
24. Aug;Stoke City;Leeds Utd;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
25. Aug;Swansea City;Birmingham City;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
30. Aug;Cardiff City;Fulham;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
31. Aug;Birmingham City;Stoke City;2;1;Home win;+;+;-;3;+;-;-;0;0;V;0
31. Aug;Brentford;Derby County;3;0;Home win;+;+;-;3;-;+;-;3;0;L;0
31. Aug;Bristol City;Middlesbrough;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
31. Aug;Leeds Utd;Swansea City;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
31. Aug;Luton Town;Huddersfield;2;1;Home win;+;+;-;3;+;-;-;0;0;V;0
31. Aug;Millwall;Hull City;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
31. Aug;Nottm Forest;Preston;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
31. Aug;Reading;Charlton;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
31. Aug;Sheffield Wed;QP Rangers;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
31. Aug;West Brom;Blackburn;3;2;Home win;+;+;+;5;+;-;-;3;2;V;0
31. Aug;Wigan Athletic;Barnsley;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
13. Sep;Derby County;Cardiff City;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
14. Sep;Blackburn;Millwall;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
14. Sep;Charlton;Birmingham City;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
14. Sep;Fulham;West Brom;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
14. Sep;Hull City;Wigan Athletic;2;2;Draw;+;+;+;4;+;-;-;2;1;V;0
14. Sep;Middlesbrough;Reading;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
14. Sep;Preston;Brentford;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
14. Sep;QP Rangers;Luton Town;3;2;Home win;+;+;+;5;+;-;-;3;1;L;0
14. Sep;Stoke City;Bristol City;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
14. Sep;Swansea City;Nottm Forest;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
15. Sep;Barnsley;Leeds Utd;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
15. Sep;Huddersfield;Sheffield Wed;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
21. Sep;Birmingham City;Preston;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
21. Sep;Brentford;Stoke City;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
21. Sep;Bristol City;Swansea City;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
21. Sep;Cardiff City;Middlesbrough;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
21. Sep;Leeds Utd;Derby County;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
21. Sep;Luton Town;Hull City;0;3;Away win;+;+;-;3;-;-;+;0;0;V;0
21. Sep;Millwall;QP Rangers;1;2;Away win;+;+;-;3;+;-;-;0;0;V;0
21. Sep;Nottm Forest;Barnsley;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
21. Sep;Reading;Blackburn;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
21. Sep;Sheffield Wed;Fulham;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
21. Sep;Wigan Athletic;Charlton;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
22. Sep;West Brom;Huddersfield;4;2;Home win;+;+;+;6;+;-;-;1;2;V;0
27. Sep;Fulham;Wigan Athletic;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
27. Sep;Stoke City;Nottm Forest;2;3;Away win;+;+;+;5;+;-;-;1;1;L;0
28. Sep;Blackburn;Luton Town;1;2;Away win;+;+;-;3;+;-;-;1;1;V;0
28. Sep;Charlton;Leeds Utd;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
28. Sep;Derby County;Birmingham City;3;2;Home win;+;+;+;5;+;-;-;1;0;L;0
28. Sep;Huddersfield;Millwall;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
28. Sep;Hull City;Cardiff City;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
28. Sep;Middlesbrough;Sheffield Wed;1;4;Away win;+;+;+;5;+;-;-;1;4;V;0
28. Sep;Preston;Bristol City;3;3;Draw;+;+;+;6;+;-;-;1;2;V;0
28. Sep;QP Rangers;West Brom;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
28. Sep;Swansea City;Reading;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
29. Sep;Barnsley;Brentford;1;3;Away win;+;+;+;4;+;-;-;1;1;L;0
1 Oct;Blackburn;Nottm Forest;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
1 Oct;Hull City;Sheffield Wed;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
1 Oct;Leeds Utd;West Brom;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
1 Oct;Middlesbrough;Preston;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
1 Oct;Reading;Fulham;1;4;Away win;+;+;+;5;+;-;-;0;3;V;0
1 Oct;Stoke City;Huddersfield;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
1 Oct;Wigan Athletic;Birmingham City;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
2 Oct;Barnsley;Derby County;2;2;Draw;+;+;+;4;+;-;-;1;2;L;0
2 Oct;Brentford;Bristol City;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
2 Oct;Cardiff City;QP Rangers;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
2 Oct;Charlton;Swansea City;1;2;Away win;+;+;-;3;+;-;-;1;1;L;0
2 Oct;Luton Town;Millwall;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
4 Oct;Birmingham City;Middlesbrough;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
5 Oct;Bristol City;Reading;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
5 Oct;Derby County;Luton Town;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
5 Oct;Fulham;Charlton;2;2;Draw;+;+;+;4;+;-;-;0;1;V;0
5 Oct;Huddersfield;Hull City;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
5 Oct;Millwall;Leeds Utd;2;1;Home win;+;+;-;3;+;-;-;2;0;L;0
5 Oct;Nottm Forest;Brentford;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
5 Oct;Preston;Barnsley;5;1;Home win;+;+;+;6;+;-;-;1;1;L;0
5 Oct;QP Rangers;Blackburn;4;2;Home win;+;+;+;6;+;-;-;1;0;L;0
5 Oct;Sheffield Wed;Wigan Athletic;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
5 Oct;Swansea City;Stoke City;1;2;Away win;+;+;-;3;+;-;-;1;1;L;0
5 Oct;West Brom;Cardiff City;4;2;Home win;+;+;+;6;+;-;-;2;0;L;0
18 Oct;Cardiff City;Sheffield Wed;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
19 Oct;Barnsley;Swansea City;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
19 Oct;Blackburn;Huddersfield;2;2;Draw;+;+;+;4;+;-;-;2;1;V;0
19 Oct;Brentford;Millwall;3;2;Home win;+;+;+;5;+;-;-;0;1;V;0
19 Oct;Charlton;Derby County;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
19 Oct;Hull City;QP Rangers;2;3;Away win;+;+;+;5;+;-;-;1;1;L;0
19 Oct;Leeds Utd;Birmingham City;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
19 Oct;Luton Town;Bristol City;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
19 Oct;Middlesbrough;West Brom;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
19 Oct;Reading;Preston;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
19 Oct;Stoke City;Fulham;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
20 Oct;Wigan Athletic;Nottm Forest;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
22 Oct;Birmingham City;Blackburn;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
22 Oct;Millwall;Cardiff City;2;2;Draw;+;+;+;4;+;-;-;1;1;V;0
22 Oct;Preston;Leeds Utd;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
22 Oct;QP Rangers;Reading;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
22 Oct;Sheffield Wed;Stoke City;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
22 Oct;Swansea City;Brentford;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
22 Oct;West Brom;Barnsley;2;2;Draw;+;+;+;4;+;-;-;0;2;V;0
23 Oct;Bristol City;Charlton;2;1;Home win;+;+;-;3;+;-;-;0;0;V;0
23 Oct;Derby County;Wigan Athletic;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
23 Oct;Fulham;Luton Town;3;2;Home win;+;+;+;5;+;-;-;1;0;L;0
23 Oct;Huddersfield;Middlesbrough;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
23 Oct;Nottm Forest;Hull City;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
26 Oct;Birmingham City;Luton Town;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
26 Oct;Huddersfield;Barnsley;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
26 Oct;Hull City;Derby County;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
26 Oct;Middlesbrough;Fulham;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
26 Oct;Millwall;Stoke City;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
26 Oct;Preston;Blackburn;3;2;Home win;+;+;+;5;+;-;-;0;2;V;0
26 Oct;Sheffield Wed;Leeds Utd;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
26 Oct;West Brom;Charlton;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
27 Oct;Bristol City;Wigan Athletic;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
27 Oct;Swansea City;Cardiff City;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
28 Oct;QP Rangers;Brentford;1;3;Away win;+;+;+;4;+;-;-;0;1;V;0
01. Nov;Barnsley;Bristol City;2;2;Draw;+;+;+;4;+;-;-;0;1;V;0
02. Nov;Blackburn;Sheffield Wed;2;1;Home win;+;+;-;3;+;-;-;0;0;V;0
02. Nov;Brentford;Huddersfield;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
02. Nov;Cardiff City;Birmingham City;4;2;Home win;+;+;+;6;+;-;-;2;1;V;0
02. Nov;Derby County;Middlesbrough;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
02. Nov;Fulham;Hull City;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
02. Nov;Leeds Utd;QP Rangers;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
02. Nov;Luton Town;Nottm Forest;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
02. Nov;Reading;Millwall;2;1;Home win;+;+;-;3;+;-;-;2;0;L;0
02. Nov;Wigan Athletic;Swansea City;1;2;Away win;+;+;-;3;+;-;-;1;1;V;0
03. Nov;Charlton;Preston;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
04. Nov;Stoke City;West Brom;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
09. Nov;Barnsley;Stoke City;2;4;Away win;+;+;+;6;+;-;-;0;2;V;0
09. Nov;Birmingham City;Fulham;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
09. Nov;Hull City;West Brom;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
09. Nov;Leeds Utd;Blackburn;2;1;Home win;+;+;-;3;+;-;-;2;1;L;0
09. Nov;Millwall;Charlton;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
09. Nov;Nottm Forest;Derby County;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
09. Nov;Preston;Huddersfield;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
09. Nov;QP Rangers;Middlesbrough;2;2;Draw;+;+;+;4;+;-;-;2;1;V;0
09. Nov;Reading;Luton Town;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
09. Nov;Sheffield Wed;Swansea City;2;2;Draw;+;+;+;4;+;-;-;0;1;V;0
09. Nov;Wigan Athletic;Brentford;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
10. Nov;Cardiff City;Bristol City;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
22. Nov;Fulham;QP Rangers;2;1;Home win;+;+;-;3;+;-;-;1;1;V;0
23. Nov;Blackburn;Barnsley;3;2;Home win;+;+;+;5;+;-;-;1;0;L;0
23. Nov;Brentford;Reading;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
23. Nov;Bristol City;Nottm Forest;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
23. Nov;Charlton;Cardiff City;2;2;Draw;+;+;+;4;+;-;-;2;0;L;0
23. Nov;Derby County;Preston;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
23. Nov;Huddersfield;Birmingham City;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
23. Nov;Luton Town;Leeds Utd;1;2;Away win;+;+;-;3;+;-;-;0;0;V;0
23. Nov;Stoke City;Wigan Athletic;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
23. Nov;Swansea City;Millwall;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
23. Nov;West Brom;Sheffield Wed;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
24. Nov;Middlesbrough;Hull City;2;2;Draw;+;+;+;4;+;-;-;2;0;L;0
26. Nov;Cardiff City;Stoke City;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
26. Nov;Fulham;Derby County;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
26. Nov;Huddersfield;Swansea City;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
26. Nov;Luton Town;Charlton;2;1;Home win;+;+;-;3;+;-;-;1;1;V;0
26. Nov;Millwall;Wigan Athletic;2;2;Draw;+;+;+;4;+;-;-;1;1;V;0
26. Nov;Reading;Leeds Utd;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
27. Nov;Blackburn;Brentford;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
27. Nov;Hull City;Preston;4;0;Home win;+;+;+;4;-;+;-;1;0;L;0
27. Nov;Middlesbrough;Barnsley;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
27. Nov;QP Rangers;Nottm Forest;0;4;Away win;+;+;+;4;-;-;+;0;1;V;0
27. Nov;Sheffield Wed;Birmingham City;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
27. Nov;West Brom;Bristol City;4;1;Home win;+;+;+;5;+;-;-;2;0;L;0
29. Nov;Swansea City;Fulham;1;2;Away win;+;+;-;3;+;-;-;0;2;V;0
30. Nov;Barnsley;Hull City;3;1;Home win;+;+;+;4;+;-;-;1;0;L;0
30. Nov;Birmingham City;Millwall;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
30. Nov;Brentford;Luton Town;7;0;Home win;+;+;+;7;-;+;-;5;0;L;0
30. Nov;Bristol City;Huddersfield;5;2;Home win;+;+;+;7;+;-;-;4;1;L;0
30. Nov;Charlton;Sheffield Wed;1;3;Away win;+;+;+;4;+;-;-;1;1;V;0
30. Nov;Derby County;QP Rangers;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
30. Nov;Leeds Utd;Middlesbrough;4;0;Home win;+;+;+;4;-;+;-;2;0;L;0
30. Nov;Nottm Forest;Cardiff City;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
30. Nov;Stoke City;Blackburn;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
30. Nov;Wigan Athletic;Reading;1;3;Away win;+;+;+;4;+;-;-;1;0;L;0
2 Dec;Preston;West Brom;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
6 Dec;Millwall;Nottm Forest;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
7 Dec;Blackburn;Derby County;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
7 Dec;Cardiff City;Barnsley;3;2;Home win;+;+;+;5;+;-;-;1;1;V;0
7 Dec;Fulham;Bristol City;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
7 Dec;Huddersfield;Leeds Utd;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
7 Dec;Hull City;Stoke City;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
7 Dec;Luton Town;Wigan Athletic;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
7 Dec;Middlesbrough;Charlton;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
7 Dec;QP Rangers;Preston;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
7 Dec;Reading;Birmingham City;2;3;Away win;+;+;+;5;+;-;-;1;1;V;0
7 Dec;Sheffield Wed;Brentford;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
8 Dec;West Brom;Swansea City;5;1;Home win;+;+;+;6;+;-;-;3;1;L;0
10 Dec;Bristol City;Millwall;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
10 Dec;Charlton;Huddersfield;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
10 Dec;Leeds Utd;Hull City;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
10 Dec;Nottm Forest;Middlesbrough;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
10 Dec;Preston;Fulham;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
10 Dec;Stoke City;Luton Town;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
11 Dec;Barnsley;Reading;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
11 Dec;Birmingham City;QP Rangers;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
11 Dec;Brentford;Cardiff City;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
11 Dec;Derby County;Sheffield Wed;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
11 Dec;Swansea City;Blackburn;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
11 Dec;Wigan Athletic;West Brom;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
13 Dec;Charlton;Hull City;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
14 Dec;Barnsley;QP Rangers;5;3;Home win;+;+;+;8;+;-;-;2;1;L;0
14 Dec;Birmingham City;West Brom;2;3;Away win;+;+;+;5;+;-;-;1;1;L;0
14 Dec;Brentford;Fulham;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
14 Dec;Bristol City;Blackburn;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
14 Dec;Derby County;Millwall;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
14 Dec;Leeds Utd;Cardiff City;3;3;Draw;+;+;+;6;+;-;-;2;0;L;0
14 Dec;Nottm Forest;Sheffield Wed;0;4;Away win;+;+;+;4;-;-;+;0;4;V;0
14 Dec;Preston;Luton Town;2;1;Home win;+;+;-;3;+;-;-;1;1;L;0
14 Dec;Stoke City;Reading;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
14 Dec;Swansea City;Middlesbrough;3;1;Home win;+;+;+;4;+;-;-;1;0;L;0
14 Dec;Wigan Athletic;Huddersfield;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
20 Dec;Middlesbrough;Stoke City;2;1;Home win;+;+;-;3;+;-;-;0;0;V;0
21 Dec;Cardiff City;Preston;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
21 Dec;Fulham;Leeds Utd;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
21 Dec;Huddersfield;Nottm Forest;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
21 Dec;Hull City;Birmingham City;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
21 Dec;Luton Town;Swansea City;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
21 Dec;Millwall;Barnsley;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
21 Dec;QP Rangers;Charlton;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
21 Dec;Reading;Derby County;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
21 Dec;West Brom;Brentford;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
22 Dec;Sheffield Wed;Bristol City;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
23 Dec;Blackburn;Wigan Athletic;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
26 Dec;Barnsley;West Brom;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
26 Dec;Blackburn;Birmingham City;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
26 Dec;Brentford;Swansea City;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
26 Dec;Cardiff City;Millwall;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
26 Dec;Charlton;Bristol City;3;2;Home win;+;+;+;5;+;-;-;1;0;L;0
26 Dec;Hull City;Nottm Forest;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
26 Dec;Leeds Utd;Preston;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
26 Dec;Luton Town;Fulham;3;3;Draw;+;+;+;6;+;-;-;2;1;L;0
26 Dec;Middlesbrough;Huddersfield;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
26 Dec;Reading;QP Rangers;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
26 Dec;Stoke City;Sheffield Wed;3;2;Home win;+;+;+;5;+;-;-;1;0;L;0
