Dateÿ?;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
02. Aug;Luton Town;Middlesbrough;3;3;Draw;+;+;+;6;+;-;-;2;2;V;0
03. Aug;Barnsley;Fulham;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
03. Aug;Blackburn;Charlton;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
03. Aug;Brentford;Birmingham City;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
03. Aug;Millwall;Preston;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
03. Aug;Nottm Forest;West Brom;1;2;Away win;+;+;-;3;+;-;-;1;2;L;0
03. Aug;Reading;Sheffield Wed;1;3;Away win;+;+;+;4;+;-;-;0;1;V;0
03. Aug;Stoke City;QP Rangers;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
03. Aug;Swansea City;Hull City;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
03. Aug;Wigan Athletic;Cardiff City;3;2;Home win;+;+;+;5;+;-;-;0;1;V;0
04. Aug;Bristol City;Leeds Utd;1;3;Away win;+;+;+;4;+;-;-;0;1;V;0
05. Aug;Huddersfield;Derby County;1;2;Away win;+;+;-;3;+;-;-;1;2;V;0
10. Aug;Birmingham City;Bristol City;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
10. Aug;Cardiff City;Luton Town;2;1;Home win;+;+;-;3;+;-;-;0;0;L;0
10. Aug;Charlton;Stoke City;3;1;Home win;+;+;+;4;+;-;-;1;1;L;0
10. Aug;Derby County;Swansea City;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
10. Aug;Fulham;Blackburn;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
10. Aug;Hull City;Reading;2;1;Home win;+;+;-;3;+;-;-;2;0;L;0
10. Aug;Leeds Utd;Nottm Forest;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
10. Aug;Middlesbrough;Brentford;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
10. Aug;Preston;Wigan Athletic;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
10. Aug;QP Rangers;Huddersfield;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
10. Aug;Sheffield Wed;Barnsley;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
10. Aug;West Brom;Millwall;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
16. Aug;Huddersfield;Fulham;1;2;Away win;+;+;-;3;+;-;-;0;0;V;0
17. Aug;Barnsley;Charlton;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
17. Aug;Blackburn;Middlesbrough;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
17. Aug;Brentford;Hull City;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
17. Aug;Bristol City;QP Rangers;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
17. Aug;Luton Town;West Brom;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
17. Aug;Millwall;Sheffield Wed;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
17. Aug;Nottm Forest;Birmingham City;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
17. Aug;Stoke City;Derby County;2;2;Draw;+;+;+;4;+;-;-;1;1;V;0
17. Aug;Swansea City;Preston;3;2;Home win;+;+;+;5;+;-;-;1;1;V;0
17. Aug;Wigan Athletic;Leeds Utd;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
18. Aug;Reading;Cardiff City;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
