Team;AT;HT;Score;Date Range;Home Away;League;Season;Date;Table Name;0. Games;1. GS;1a WDL;1b WDL;1c Goals;1d Goals;2. GA;2a xG;2b xG;3. Pts;3a xG Against;3b xG Against;4. xG;4a Net xG;4b Net xG;5. xGA;5a Points;5b Points;6. Net xG;7. xG Pts;D;GAvsXg+ve;GAvsXg-ve;GD;GSvsXg+ve;GSvsXg-ve;L;Lower xG;Pts vs xG;Pts vs xG +ve;Pts vs xG -ve;RankCalc;Upper xG;W;x. +ve GD;x. -ve GD;x. GD vs NetXg+ve;x. GD vs NetXg-ve;ZN([D]);ZN([L]);ZN([W])
Moreirense;Rio Ave;Moreirense;0-1;Wahr;Home;Portuguese Liga;2019/20;12.06.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.8;1;1;1.4;1;1;-0.6;0;;+0.4;;-1;+0.8;;1;-0.23;0;+0;;-0.001;0.36;;;-1;+0.4;;0;1;0
Pacos Ferreira;Boavista;Pacos Ferreira;0-1;Wahr;Home;Portuguese Liga;2019/20;07.02.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.4;1;1;1.5;1;1;-0.1;1;;+0.5;;-1;+1.4;;1;-0.23;1;+1;;-0.001;0.36;;;-1;+0.9;;0;1;0
Pacos Ferreira;Maritimo;Pacos Ferreira;0-1;Wahr;Home;Portuguese Liga;2019/20;31.08.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.4;1;1;0.9;1;1;0.5;3;;;-0.1;-1;+1.4;;1;-0.23;3;+3;;-0.001;0.36;;;-1;+1.5;;0;1;0
Pacos Ferreira;Porto;Pacos Ferreira;0-1;Wahr;Home;Portuguese Liga;2019/20;29.06.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.6;1;1;0.6;1;1;0.0;1;;;-0.4;-1;+0.6;;1;-0.23;1;+1;;-0.001;0.36;;;-1;+1.0;;0;1;0
Pacos Ferreira;Santa Clara;Pacos Ferreira;0-1;Wahr;Home;Portuguese Liga;2019/20;18.08.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.8;1;1;0.6;1;1;0.2;1;;;-0.4;-1;+0.8;;1;-0.23;1;+1;;-0.001;0.36;;;-1;+1.2;;0;1;0
Portimonense;Guimaraes;Portimonense;0-1;Wahr;Home;Portuguese Liga;2019/20;04.07.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.9;1;1;0.4;1;1;0.6;3;;;-0.6;-1;+0.9;;1;-0.23;3;+3;;-0.001;0.36;;;-1;+1.6;;0;1;0
Portimonense;Sp Braga;Portimonense;0-1;Wahr;Home;Portuguese Liga;2019/20;29.09.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.7;1;1;0.5;1;1;0.2;1;;;-0.5;-1;+0.7;;1;-0.23;1;+1;;-0.001;0.36;;;-1;+1.2;;0;1;0
Portimonense;Tondela;Portimonense;0-1;Wahr;Home;Portuguese Liga;2019/20;01.02.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.5;1;1;0.9;1;1;-0.4;0;;;-0.1;-1;+0.5;;1;-0.23;0;+0;;-0.001;0.36;;;-1;+0.6;;0;1;0
Rio Ave;Maritimo;Rio Ave;0-1;Wahr;Home;Portuguese Liga;2019/20;05.01.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.9;1;1;1.4;1;1;-0.5;0;;+0.4;;-1;+0.9;;1;-0.23;0;+0;;-0.001;0.36;;;-1;+0.5;;0;1;0
Rio Ave;Porto;Rio Ave;0-1;Wahr;Home;Portuguese Liga;2019/20;29.09.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.6;1;1;1.6;1;1;-1.0;0;;+0.6;;-1;+0.6;;1;-0.23;0;+0;;-0.001;0.36;;;-1;;0.0;0;1;0
