Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
19. Jul;Genoa;Lecce;2;1;Home win;+;+;-;3;+;-;-;1;0;L;1
19. Jul;Napoli;Udinese;2;1;Home win;+;+;-;3;+;-;-;1;1;V;1
19. Jul;Parma;Sampdoria;2;3;Away win;+;+;+;5;+;-;-;2;0;L;1
20. Jul;Juventus;Lazio;2;1;Home win;+;+;-;3;+;-;-;0;0;L;1
21. Jul;Atalanta;Bologna;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
21. Jul;Sassuolo;AC Milan;1;2;Away win;+;+;-;3;+;-;-;1;2;V;1
22. Jul;Inter Milan;Fiorentina;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
22. Jul;Lecce;Brescia;3;1;Home win;+;+;+;4;+;-;-;2;0;L;1
22. Jul;Parma;Napoli;2;1;Home win;+;+;-;3;+;-;-;1;0;L;1
22. Jul;Sampdoria;Genoa;1;2;Away win;+;+;-;3;+;-;-;1;1;V;1
22. Jul;SPAL;AS Roma;1;6;Away win;+;+;+;7;+;-;-;1;2;V;1
22. Jul;Torino;Hellas Verona;1;1;Draw;+;-;-;2;+;-;-;0;0;V;1
23. Jul;Lazio;Cagliari;2;1;Home win;+;+;-;3;+;-;-;0;1;V;1
23. Jul;Udinese;Juventus;2;1;Home win;+;+;-;3;+;-;-;0;1;V;1
24. Jul;AC Milan;Atalanta;1;1;Draw;+;-;-;2;+;-;-;1;1;L;1
25. Jul;Brescia;Parma;1;2;Away win;+;+;-;3;+;-;-;0;0;V;1
25. Jul;Genoa;Inter Milan;0;3;Away win;+;+;-;3;-;-;+;0;1;V;1
25. Jul;Napoli;Sassuolo;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
26. Jul;AS Roma;Fiorentina;2;1;Home win;+;+;-;3;+;-;-;1;0;L;1
26. Jul;Bologna;Lecce;3;2;Home win;+;+;+;5;+;-;-;2;1;L;1
26. Jul;Cagliari;Udinese;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
26. Jul;Hellas Verona;Lazio;1;5;Away win;+;+;+;6;+;-;-;1;1;L;1
26. Jul;Juventus;Sampdoria;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
26. Jul;SPAL;Torino;1;1;Draw;+;-;-;2;+;-;-;0;0;V;1
28. Jul;Inter Milan;Napoli;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
28. Jul;Parma;Atalanta;1;2;Away win;+;+;-;3;+;-;-;1;0;L;1
29. Jul;Cagliari;Juventus;2;0;Home win;+;-;-;2;-;+;-;2;0;L;1
29. Jul;Fiorentina;Bologna;4;0;Home win;+;+;+;4;-;+;-;0;0;L;1
29. Jul;Hellas Verona;SPAL;3;0;Home win;+;+;-;3;-;+;-;2;0;L;1
29. Jul;Lazio;Brescia;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
29. Jul;Sampdoria;AC Milan;1;4;Away win;+;+;+;5;+;-;-;0;1;V;1
29. Jul;Sassuolo;Genoa;5;0;Home win;+;+;+;5;-;+;-;2;0;L;1
29. Jul;Torino;AS Roma;2;3;Away win;+;+;+;5;+;-;-;1;2;L;1
29. Jul;Udinese;Lecce;1;2;Away win;+;+;-;3;+;-;-;1;1;L;1
01. Aug;AC Milan;Cagliari;3;0;Home win;+;+;-;3;-;+;-;1;0;L;1
01. Aug;Atalanta;Inter Milan;0;2;Away win;+;-;-;2;-;-;+;0;2;V;1
01. Aug;Brescia;Sampdoria;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
01. Aug;Juventus;AS Roma;1;3;Away win;+;+;+;4;+;-;-;1;2;L;1
01. Aug;Napoli;Lazio;3;1;Home win;+;+;+;4;+;-;-;1;1;L;1
02. Aug;Bologna;Torino;1;1;Draw;+;-;-;2;+;-;-;1;0;L;1
02. Aug;Genoa;Hellas Verona;3;0;Home win;+;+;-;3;-;+;-;3;0;L;1
02. Aug;Lecce;Parma;3;4;Away win;+;+;+;7;+;-;-;2;2;V;1
02. Aug;Sassuolo;Udinese;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
02. Aug;SPAL;Fiorentina;1;3;Away win;+;+;+;4;+;-;-;1;1;V;1
