Dateÿ?;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
21. Jun;Galatasaray;Gaziantep FK;3;3;Draw;+;+;+;6;+;-;-;2;1;V;1
21. Jun;Kasimpasa;Fenerbahce;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
21. Jun;Konyaspor;Sivasspor;2;2;Draw;+;+;+;4;+;-;-;2;1;V;1
22. Jun;Alanyaspor;Trabzonspor;2;2;Draw;+;+;+;4;+;-;-;1;1;V;1
22. Jun;Antalyaspor;Rizespor;3;1;Home win;+;+;+;4;+;-;-;1;0;L;1
26. Jun;Besiktas;Konyaspor;3;0;Home win;+;+;-;3;-;+;-;2;0;L;1
27. Jun;Fenerbahce;Yeni Malatyaspo;3;2;Home win;+;+;+;5;+;-;-;0;0;L;1
27. Jun;Goztepe;Alanyaspor;3;3;Draw;+;+;+;6;+;-;-;1;2;V;1
27. Jun;Trabzonspor;Ankaragucu;1;1;Draw;+;-;-;2;+;-;-;1;0;L;1
28. Jun;Basaksehir;Galatasaray;1;1;Draw;+;-;-;2;+;-;-;0;0;L;1
28. Jun;Gaziantep FK;Antalyaspor;1;1;Draw;+;-;-;2;+;-;-;0;0;L;1
28. Jun;Rizespor;Denizlispor;2;2;Draw;+;+;+;4;+;-;-;1;2;V;1
28. Jun;Sivasspor;Kayserispor;0;2;Away win;+;-;-;2;-;-;+;0;1;V;1
29. Jun;Genclerbirligi;Kasimpasa;0;2;Away win;+;-;-;2;-;-;+;0;1;V;1
03. Jul;Denizlispor;Gaziantep FK;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
04. Jul;Ankaragucu;Alanyaspor;1;4;Away win;+;+;+;5;+;-;-;0;0;V;1
04. Jul;Antalyaspor;Basaksehir;0;2;Away win;+;-;-;2;-;-;+;0;0;V;1
04. Jul;Fenerbahce;Goztepe;2;1;Home win;+;+;-;3;+;-;-;2;0;L;1
04. Jul;Yeni Malatyaspo;Genclerbirligi;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
05. Jul;Galatasaray;Trabzonspor;1;3;Away win;+;+;+;4;+;-;-;0;1;V;1
05. Jul;Kasimpasa;Sivasspor;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
05. Jul;Konyaspor;Rizespor;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
06. Jul;Kayserispor;Besiktas;3;1;Home win;+;+;+;4;+;-;-;0;0;L;1
07. Jul;Basaksehir;Denizlispor;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
07. Jul;Genclerbirligi;Fenerbahce;1;1;Draw;+;-;-;2;+;-;-;0;0;L;1
08. Jul;Alanyaspor;Galatasaray;4;1;Home win;+;+;+;5;+;-;-;2;1;L;1
08. Jul;Goztepe;Ankaragucu;2;2;Draw;+;+;+;4;+;-;-;2;1;V;1
08. Jul;Sivasspor;Yeni Malatyaspo;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
08. Jul;Trabzonspor;Antalyaspor;2;2;Draw;+;+;+;4;+;-;-;2;1;V;1
09. Jul;Besiktas;Kasimpasa;3;2;Home win;+;+;+;5;+;-;-;1;2;L;1
09. Jul;Gaziantep FK;Konyaspor;3;1;Home win;+;+;+;4;+;-;-;0;1;V;1
09. Jul;Rizespor;Kayserispor;3;2;Home win;+;+;+;5;+;-;-;1;1;L;1
11. Jul;Goztepe;Genclerbirligi;1;3;Away win;+;+;+;4;+;-;-;0;2;V;1
12. Jul;Ankaragucu;Galatasaray;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
12. Jul;Antalyaspor;Alanyaspor;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
12. Jul;Fenerbahce;Sivasspor;1;2;Away win;+;+;-;3;+;-;-;1;2;V;1
13. Jul;Denizlispor;Trabzonspor;2;1;Home win;+;+;-;3;+;-;-;0;1;V;1
