Dateÿ?;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
15 Dec;Besiktas;Yeni Malatyaspo;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
15 Dec;Gaziantep FK;Kayserispor;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
15 Dec;Sivasspor;Fenerbahce;3;1;Home win;+;+;+;4;+;-;-;1;0;L;0
16 Dec;Basaksehir;Konyaspor;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
16 Dec;Trabzonspor;Denizlispor;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
20 Dec;Antalyaspor;Ankaragucu;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
21 Dec;Goztepe;Galatasaray;2;1;Home win;+;+;-;3;+;-;-;1;1;L;0
21 Dec;Kasimpasa;Gaziantep FK;3;4;Away win;+;+;+;7;+;-;-;1;4;V;0
21 Dec;Yeni Malatyaspo;Rizespor;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
22 Dec;Fenerbahce;Besiktas;3;1;Home win;+;+;+;4;+;-;-;2;1;L;0
22 Dec;Genclerbirligi;Sivasspor;2;2;Draw;+;+;+;4;+;-;-;0;1;V;0
22 Dec;Kayserispor;Basaksehir;1;4;Away win;+;+;+;5;+;-;-;1;2;V;0
23 Dec;Denizlispor;Alanyaspor;1;5;Away win;+;+;+;6;+;-;-;0;3;V;0
23 Dec;Konyaspor;Trabzonspor;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
27 Dec;Besiktas;Genclerbirligi;4;1;Home win;+;+;+;5;+;-;-;0;1;V;0
28 Dec;Ankaragucu;Denizlispor;2;2;Draw;+;+;+;4;+;-;-;0;2;V;0
28 Dec;Basaksehir;Kasimpasa;5;1;Home win;+;+;+;6;+;-;-;4;0;L;0
28 Dec;Galatasaray;Antalyaspor;5;0;Home win;+;+;+;5;-;+;-;3;0;L;0
28 Dec;Trabzonspor;Kayserispor;6;2;Home win;+;+;+;8;+;-;-;2;1;L;0
29 Dec;Alanyaspor;Konyaspor;2;1;Home win;+;+;-;3;+;-;-;1;1;V;0
29 Dec;Gaziantep FK;Yeni Malatyaspo;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
29 Dec;Rizespor;Fenerbahce;1;2;Away win;+;+;-;3;+;-;-;1;1;V;0
29 Dec;Sivasspor;Goztepe;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
17. Jan;Ankaragucu;Konyaspor;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
18. Jan;Alanyaspor;Kayserispor;5;1;Home win;+;+;+;6;+;-;-;1;0;L;0
18. Jan;Basaksehir;Yeni Malatyaspo;4;1;Home win;+;+;+;5;+;-;-;4;0;L;0
18. Jan;Gaziantep FK;Fenerbahce;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
19. Jan;Antalyaspor;Goztepe;0;3;Away win;+;+;-;3;-;-;+;0;3;V;0
19. Jan;Besiktas;Sivasspor;1;2;Away win;+;+;-;3;+;-;-;1;2;V;0
19. Jan;Galatasaray;Denizlispor;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
19. Jan;Trabzonspor;Kasimpasa;6;0;Home win;+;+;+;6;-;+;-;3;0;L;0
20. Jan;Rizespor;Genclerbirligi;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
24. Jan;Genclerbirligi;Gaziantep FK;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
25. Jan;Fenerbahce;Basaksehir;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
25. Jan;Kasimpasa;Alanyaspor;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
25. Jan;Kayserispor;Ankaragucu;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
26. Jan;Denizlispor;Antalyaspor;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
26. Jan;Goztepe;Besiktas;2;1;Home win;+;+;-;3;+;-;-;2;1;L;0
26. Jan;Konyaspor;Galatasaray;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
27. Jan;Sivasspor;Rizespor;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
31. Jan;Basaksehir;Genclerbirligi;3;1;Home win;+;+;+;4;+;-;-;1;1;L;0
01. Feb;Antalyaspor;Konyaspor;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
01. Feb;Rizespor;Besiktas;1;2;Away win;+;+;-;3;+;-;-;1;1;V;0
01. Feb;Trabzonspor;Fenerbahce;2;1;Home win;+;+;-;3;+;-;-;2;1;V;0
02. Feb;Alanyaspor;Yeni Malatyaspo;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
02. Feb;Ankaragucu;Kasimpasa;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
02. Feb;Galatasaray;Kayserispor;4;1;Home win;+;+;+;5;+;-;-;2;0;L;0
02. Feb;Gaziantep FK;Sivasspor;5;1;Home win;+;+;+;6;+;-;-;3;1;L;0
03. Feb;Denizlispor;Goztepe;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
07. Feb;Yeni Malatyaspo;Ankaragucu;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
08. Feb;Besiktas;Gaziantep FK;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
08. Feb;Fenerbahce;Alanyaspor;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
08. Feb;Genclerbirligi;Trabzonspor;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
08. Feb;Konyaspor;Denizlispor;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
09. Feb;Kasimpasa;Galatasaray;0;3;Away win;+;+;-;3;-;-;+;0;3;V;0
09. Feb;Kayserispor;Antalyaspor;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
09. Feb;Sivasspor;Basaksehir;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
