Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
11. Jun;Tondela;Aves;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
12. Jun;Moreirense;Rio Ave;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
12. Jun;Sporting CP;Pacos Ferreira;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
13. Jun;Sporting Braga;Boavista;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
15. Jun;Maritimo;Gil Vicente;2;1;Home win;+;+;-;3;+;-;-;2;1;V;1
16. Jun;Aves;FC Porto;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
16. Jun;Santa Clara;Portimonense;1;1;Draw;+;-;-;2;+;-;-;0;0;V;1
17. Jun;Pacos Ferreira;Belenenses;2;1;Home win;+;+;-;3;+;-;-;0;1;V;1
17. Jun;Rio Ave;Benfica;1;2;Away win;+;+;-;3;+;-;-;1;0;L;1
18. Jun;Boavista;Vitoria Setubal;3;1;Home win;+;+;+;4;+;-;-;2;0;L;1
18. Jun;Sporting CP;Tondela;2;0;Home win;+;-;-;2;-;+;-;2;0;L;1
19. Jun;Famalicao;Sporting Braga;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
19. Jun;Guimaraes;Moreirense;1;1;Draw;+;-;-;2;+;-;-;1;0;L;1
21. Jun;Gil Vicente;Aves;3;0;Home win;+;+;-;3;-;+;-;2;0;L;1
22. Jun;Portimonense;Maritimo;3;2;Home win;+;+;+;5;+;-;-;2;0;L;1
23. Jun;Benfica;Santa Clara;3;4;Away win;+;+;+;7;+;-;-;0;1;V;1
23. Jun;FC Porto;Boavista;4;0;Home win;+;+;+;4;-;+;-;0;0;L;1
23. Jun;Vitoria Setubal;Rio Ave;1;2;Away win;+;+;-;3;+;-;-;1;1;L;1
24. Jun;Moreirense;Famalicao;1;1;Draw;+;-;-;2;+;-;-;0;0;L;1
24. Jun;Tondela;Pacos Ferreira;1;3;Away win;+;+;+;4;+;-;-;0;2;V;1
25. Jun;Sporting Braga;Guimaraes;3;2;Home win;+;+;+;5;+;-;-;2;2;L;1
26. Jun;Belenenses;Sporting CP;1;3;Away win;+;+;+;4;+;-;-;1;3;L;1
28. Jun;Boavista;Santa Clara;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
29. Jun;Aves;Moreirense;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
29. Jun;Maritimo;Benfica;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
29. Jun;Pacos Ferreira;FC Porto;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
30. Jun;Famalicao;Portimonense;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
30. Jun;Guimaraes;Vitoria Setubal;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
30. Jun;Rio Ave;Sporting Braga;4;3;Home win;+;+;+;7;+;-;-;3;2;V;1
01. Jul;Belenenses;Tondela;1;1;Draw;+;-;-;2;+;-;-;1;1;V;1
01. Jul;Sporting CP;Gil Vicente;2;1;Home win;+;+;-;3;+;-;-;1;0;L;1
03. Jul;Santa Clara;Maritimo;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
04. Jul;Benfica;Boavista;3;1;Home win;+;+;+;4;+;-;-;3;0;L;1
04. Jul;Portimonense;Guimaraes;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
04. Jul;Sporting Braga;Aves;4;0;Home win;+;+;+;4;-;+;-;0;0;L;1
04. Jul;Vitoria Setubal;Pacos Ferreira;2;3;Away win;+;+;+;5;+;-;-;2;0;L;1
05. Jul;FC Porto;Belenenses;5;0;Home win;+;+;+;5;-;+;-;1;0;L;1
05. Jul;Gil Vicente;Rio Ave;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
05. Jul;Tondela;Famalicao;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
06. Jul;Moreirense;Sporting CP;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
08. Jul;Aves;Vitoria Setubal;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
08. Jul;Boavista;Maritimo;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
09. Jul;Famalicao;Benfica;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
09. Jul;Rio Ave;Portimonense;2;1;Home win;+;+;-;3;+;-;-;1;1;V;1
09. Jul;Tondela;FC Porto;1;3;Away win;+;+;+;4;+;-;-;0;0;V;1
10. Jul;Guimaraes;Gil Vicente;1;2;Away win;+;+;-;3;+;-;-;0;0;L;1
10. Jul;Pacos Ferreira;Sporting Braga;1;5;Away win;+;+;+;6;+;-;-;0;3;V;1
10. Jul;Sporting CP;Santa Clara;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
11. Jul;Belenenses;Moreirense;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
13. Jul;Maritimo;Rio Ave;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
13. Jul;Vitoria Setubal;Famalicao;1;2;Away win;+;+;-;3;+;-;-;1;1;V;1
14. Jul;Benfica;Guimaraes;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
14. Jul;Gil Vicente;Tondela;3;2;Home win;+;+;+;5;+;-;-;1;0;L;1
14. Jul;Portimonense;Boavista;2;1;Home win;+;+;-;3;+;-;-;2;0;L;1
14. Jul;Santa Clara;Aves;3;0;Home win;+;+;-;3;-;+;-;2;0;L;1
15. Jul;FC Porto;Sporting CP;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
15. Jul;Moreirense;Pacos Ferreira;1;1;Draw;+;-;-;2;+;-;-;1;0;L;1
15. Jul;Sporting Braga;Belenenses;1;1;Draw;+;-;-;2;+;-;-;1;0;L;1
18. Jul;Famalicao;Boavista;2;2;Draw;+;+;+;4;+;-;-;2;0;L;1
18. Jul;Rio Ave;Santa Clara;2;2;Draw;+;+;+;4;+;-;-;1;1;L;1
19. Jul;Belenenses;Gil Vicente;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
19. Jul;Guimaraes;Maritimo;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
20. Jul;FC Porto;Moreirense;6;1;Home win;+;+;+;7;+;-;-;1;1;L;1
20. Jul;Pacos Ferreira;Portimonense;2;1;Home win;+;+;-;3;+;-;-;2;1;L;1
20. Jul;Tondela;Sporting Braga;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
21. Jul;Aves;Benfica;0;4;Away win;+;+;+;4;-;-;+;0;1;V;1
21. Jul;Sporting CP;Vitoria Setubal;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
24. Jul;Gil Vicente;Pacos Ferreira;3;3;Draw;+;+;+;6;+;-;-;2;2;V;1
24. Jul;Santa Clara;Guimaraes;2;2;Draw;+;+;+;4;+;-;-;2;1;L;1
25. Jul;Benfica;Sporting CP;2;1;Home win;+;+;-;3;+;-;-;1;0;L;1
25. Jul;Boavista;Rio Ave;0;2;Away win;+;-;-;2;-;-;+;0;1;V;1
25. Jul;Maritimo;Famalicao;3;3;Draw;+;+;+;6;+;-;-;1;1;L;1
25. Jul;Sporting Braga;FC Porto;2;1;Home win;+;+;-;3;+;-;-;0;1;V;1
26. Jul;Moreirense;Tondela;1;2;Away win;+;+;-;3;+;-;-;0;1;V;1
26. Jul;Portimonense;Aves;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
26. Jul;Vitoria Setubal;Belenenses;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
