Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
29. Sep;Viktoria Plzen;Sparta Prague;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
30. Sep;Banik Ostrava;Pribram;3;0;Home win;+;+;-;3;-;+;-;3;0;L;0
30. Sep;Slovan Liberec;Ceske Budejov.;4;2;Home win;+;+;+;6;+;-;-;2;2;L;0
4 Oct;Slovacko;Slovan Liberec;3;1;Home win;+;+;+;4;+;-;-;2;1;L;0
5 Oct;Banik Ostrava;Zlin;4;0;Home win;+;+;+;4;-;+;-;4;0;L;0
5 Oct;Opava;Teplice;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
5 Oct;Pribram;Sigma Olomouc;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
5 Oct;Sparta Prague;Karvina;4;0;Home win;+;+;+;4;-;+;-;1;0;L;0
6 Oct;Ceske Budejov.;Bohemians;3;2;Home win;+;+;+;5;+;-;-;1;0;L;0
6 Oct;Jablonec;Slavia Prague;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
6 Oct;Mlada Boleslav;Viktoria Plzen;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
19 Oct;Sigma Olomouc;Ceske Budejov.;1;3;Away win;+;+;+;4;+;-;-;0;1;V;0
19 Oct;Slavia Prague;Pribram;3;1;Home win;+;+;+;4;+;-;-;0;1;V;0
19 Oct;Slovan Liberec;Jablonec;2;2;Draw;+;+;+;4;+;-;-;0;1;V;0
19 Oct;Zlin;Mlada Boleslav;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
20 Oct;Bohemians;Opava;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
20 Oct;Karvina;Slovacko;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
20 Oct;Teplice;Sparta Prague;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
20 Oct;Viktoria Plzen;Banik Ostrava;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
25 Oct;Jablonec;Teplice;4;1;Home win;+;+;+;5;+;-;-;2;0;L;0
26 Oct;Banik Ostrava;Sigma Olomouc;2;2;Draw;+;+;+;4;+;-;-;2;1;L;0
26 Oct;Pribram;Zlin;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
26 Oct;Slovacko;Opava;4;0;Home win;+;+;+;4;-;+;-;1;0;L;0
26 Oct;Sparta Prague;Bohemians;4;0;Home win;+;+;+;4;-;+;-;2;0;L;0
27 Oct;Ceske Budejov.;Karvina;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
27 Oct;Mlada Boleslav;Slovan Liberec;1;3;Away win;+;+;+;4;+;-;-;0;1;V;0
27 Oct;Viktoria Plzen;Slavia Prague;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
01. Nov;Bohemians;Slovacko;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
02. Nov;Sigma Olomouc;Mlada Boleslav;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
02. Nov;Slavia Prague;Banik Ostrava;4;0;Home win;+;+;+;4;-;+;-;1;0;L;0
03. Nov;Karvina;Jablonec;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
03. Nov;Opava;Sparta Prague;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
03. Nov;Slovan Liberec;Pribram;3;2;Home win;+;+;+;5;+;-;-;2;1;L;0
03. Nov;Teplice;Ceske Budejov.;1;3;Away win;+;+;+;4;+;-;-;0;3;V;0
04. Nov;Zlin;Viktoria Plzen;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
08. Nov;Banik Ostrava;Karvina;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
08. Nov;Mlada Boleslav;Bohemians;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
09. Nov;Jablonec;Sparta Prague;2;2;Draw;+;+;+;4;+;-;-;0;2;V;0
09. Nov;Pribram;Opava;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
09. Nov;Zlin;Sigma Olomouc;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
10. Nov;Ceske Budejov.;Slovacko;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
10. Nov;Slavia Prague;Teplice;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
10. Nov;Viktoria Plzen;Slovan Liberec;4;1;Home win;+;+;+;5;+;-;-;2;1;V;0
22. Nov;Sparta Prague;Ceske Budejov.;3;3;Draw;+;+;+;6;+;-;-;1;2;V;0
23. Nov;Bohemians;Pribram;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
23. Nov;Opava;Mlada Boleslav;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
23. Nov;Sigma Olomouc;Slavia Prague;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
23. Nov;Slovan Liberec;Zlin;5;0;Home win;+;+;+;5;-;+;-;3;0;L;0
24. Nov;Karvina;Viktoria Plzen;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
24. Nov;Teplice;Banik Ostrava;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
25. Nov;Slovacko;Jablonec;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
29. Nov;Banik Ostrava;Opava;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
30. Nov;Pribram;Sparta Prague;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
