100.0% completed ;;;Away wins:ÿ;27%;;Over 3.5 goals:ÿ;29%;;;Both teams scored:ÿ;;55%;2017;;
306 matches played / 306;;;Home wins:ÿ;45%;;Over 1.5 goals:ÿ;79%;Goals:ÿ;855;Home goals per match:ÿ;;1.6;2018;;
Aug;;May;Draws:ÿ;27%;;Over 2.5 goals:ÿ;52%;Goals per match:ÿ;2.79;Away goals per match:ÿ;;1.19;2018;;
100.0% completed ;;;Away wins:ÿ;27%;;Over 3.5 goals:ÿ;31%;;;Both teams scored:ÿ;;55%;2018;;
306 matches played / 306;;;Home wins:ÿ;45%;;Over 1.5 goals:ÿ;85%;Goals:ÿ;973;Home goals per match:ÿ;;1.79;2019;;
Aug;;May;Draws:ÿ;24%;;Over 2.5 goals:ÿ;62%;Goals per match:ÿ;3.18;Away goals per match:ÿ;;1.39;2019;;
100.0% completed ;;;Away wins:ÿ;31%;;Over 3.5 goals:ÿ;40%;;;Both teams scored:ÿ;;59%;2019;;
306 matches played / 306;;;Home wins:ÿ;40%;;Over 1.5 goals:ÿ;86%;Goals:ÿ;982;Home goals per match:ÿ;;1.66;2020;;
Aug;;Jun;Draws:ÿ;22%;;Over 2.5 goals:ÿ;65%;Goals per match:ÿ;3.21;Away goals per match:ÿ;;1.55;2020;;
100.0% completed ;;;Away wins:ÿ;38%;;Over 3.5 goals:ÿ;42%;;;Both teams scored:ÿ;;58%;2020;;
