Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;sample
23. Nov;Lamia;Xanthi;1;0;Home win;-;-;-;1;-;+;-;0
23. Nov;Panionios;Olympiakos;1;1;Draw;+;-;-;2;+;-;-;0
24. Nov;AEK Athens;Aris Thessalon.;1;1;Draw;+;-;-;2;+;-;-;0
24. Nov;Ast. Tripolis;Volos NFC;0;0;Draw;-;-;-;0;-;+;+;0
24. Nov;Atromitos;OFI Crete;2;1;Home win;+;+;-;3;+;-;-;0
24. Nov;Panaitolikos;Panathinaikos;0;0;Draw;-;-;-;0;-;+;+;0
24. Nov;PAOK Saloniki;AEL Larissa;1;0;Home win;-;-;-;1;-;+;-;0
30. Nov;AEL Larissa;Volos NFC;2;1;Home win;+;+;-;3;+;-;-;0
30. Nov;OFI Crete;AEK Athens;1;0;Home win;-;-;-;1;-;+;-;0
30. Nov;Panionios;Panaitolikos;3;0;Home win;+;+;-;3;-;+;-;0
1 Dec;Aris Thessalon.;Lamia;1;1;Draw;+;-;-;2;+;-;-;0
1 Dec;Olympiakos;PAOK Saloniki;1;1;Draw;+;-;-;2;+;-;-;0
1 Dec;Panathinaikos;Ast. Tripolis;1;0;Home win;-;-;-;1;-;+;-;0
1 Dec;Xanthi;Atromitos;1;0;Home win;-;-;-;1;-;+;-;0
7 Dec;AEK Athens;Panionios;5;0;Home win;+;+;+;5;-;+;-;0
7 Dec;Panaitolikos;Olympiakos;0;3;Away win;+;+;-;3;-;-;+;0
7 Dec;PAOK Saloniki;Xanthi;2;0;Home win;+;-;-;2;-;+;-;0
8 Dec;Ast. Tripolis;AEL Larissa;1;1;Draw;+;-;-;2;+;-;-;0
8 Dec;Atromitos;Aris Thessalon.;2;2;Draw;+;+;+;4;+;-;-;0
8 Dec;Lamia;OFI Crete;2;1;Home win;+;+;-;3;+;-;-;0
8 Dec;Volos NFC;Panathinaikos;1;1;Draw;+;-;-;2;+;-;-;0
14 Dec;OFI Crete;Aris Thessalon.;3;1;Home win;+;+;+;4;+;-;-;0
14 Dec;Panathinaikos;Lamia;2;0;Home win;+;-;-;2;-;+;-;0
14 Dec;Xanthi;AEK Athens;0;1;Away win;-;-;-;1;-;-;+;0
15 Dec;AEL Larissa;Atromitos;1;2;Away win;+;+;-;3;+;-;-;0
15 Dec;Ast. Tripolis;Olympiakos;0;5;Away win;+;+;+;5;-;-;+;0
