Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
30. Jun;Mattersburg;WSG Tirol;4;1;Home win;+;+;+;5;+;-;-;2;0;L;1
01. Jul;Rapid Wien;LASK Linz;3;1;Home win;+;+;+;4;+;-;-;2;0;L;1
01. Jul;Salzburg;Sturm Graz;5;2;Home win;+;+;+;7;+;-;-;1;0;L;1
02. Jul;Hartberg;Wolfsberger AC;3;3;Draw;+;+;+;6;+;-;-;1;0;L;1
04. Jul;Austria Wien;Mattersburg;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
04. Jul;St. Poelten;Altach;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
04. Jul;WSG Tirol;Admira;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
05. Jul;LASK Linz;Salzburg;0;3;Away win;+;+;-;3;-;-;+;0;0;V;1
05. Jul;Sturm Graz;Hartberg;1;4;Away win;+;+;+;5;+;-;-;1;3;L;1
05. Jul;Wolfsberger AC;Rapid Wien;3;1;Home win;+;+;+;4;+;-;-;2;0;L;1
